county,total_trees_planted,number_of_events,avg_trees_per_event,percentage_share
Narok,51521028,752,68512.01,7.31
Nakuru,45476804,3860,11781.56,6.45
Machakos,38200235,2717,14059.71,5.42
Meru,37592031,1893,19858.44,5.33
Kilifi,36039829,3082,11693.65,5.11
Kwale,33831482,2129,15890.79,4.8
Mombasa,30880400,1905,16210.18,4.38
Uasin Gishu,28581094,1494,19130.59,4.05
Tana River,26483580,1455,18201.77,3.76
Nyandarua,25269680,1515,16679.66,3.58
Nairobi,23954352,4655,5145.94,3.4
Kakamega,22121455,2769,7988.97,3.14
Nyeri,20622995,4952,4164.58,2.93
Trans-Nzoia,19880701,1246,15955.62,2.82
Homa Bay,18855925,4907,3842.66,2.67
Kisumu,17930134,7723,2321.65,2.54
Kiambu,17779937,3701,4804.09,2.52
Nandi,17681754,1580,11190.98,2.51
Bungoma,16499763,1674,9856.49,2.34
Baringo,15091924,1510,9994.65,2.14
Elgeyo-Marakwet,13231062,1061,12470.37,1.88
Kajiado,11214975,1253,8950.5,1.59
Lamu,10972188,420,26124.26,1.56
Laikipia,10189186,1274,7997.79,1.45
Kisii,10167335,2641,3849.8,1.44
Kericho,8614053,1116,7718.69,1.22
Murang'a,8894511,1514,5874.84,1.26
Migori,7996391,675,11846.51,1.13
Samburu,7663016,499,15356.75,1.09
Siaya,7175456,868,8266.65,1.02
Isiolo,6941037,426,16293.51,0.98
Vihiga,6165276,1462,4217.02,0.87
Kirinyaga,6112677,2758,2216.34,0.87
Busia,6053814,1889,3204.77,0.86
Bomet,5931824,867,6841.78,0.84
Makueni,5409017,2389,2264.13,0.77
Embu,5232344,1006,5201.14,0.74
Kitui,5101166,1787,2854.6,0.72
Nyamira,4144939,735,5639.37,0.59
Tharaka-Nithi,3762708,1584,2375.45,0.53
West Pokot,2570952,461,5576.9,0.36
Marsabit,1895473,840,2256.52,0.27
Mandera,1490642,460,3240.53,0.21
Taita-Taveta,1362666,1254,1086.66,0.19
Garissa,1280611,577,2219.43,0.18
Wajir,547152,710,770.64,0.08
Turkana,399176,460,867.77,0.06
Nyanza,87480,3,29160,0.01
